model,layer,head,label,rel_depth,locality_score,match_entropy,delta_collapse,mean_distance,bos_mass,local_mass,long_range_mass,mean_max_attn,mean_entropy_ss,vq_ratio_atlas,mean_output_norm,wq_norm,wk_norm,wv_norm,wo_norm,vq_ratio_weight,ov_norm,ov_eff_rank,ov_sv1,ov_sv2,ov_sv3,qk_eff_rank,qk_sv1,qk_sv2,qk_sv3,head_dim,is_gqa,gqa_group_size,gqa_within_group_rank
GPT-2,0,0,local,0.0,,2.3178,0.01256,41.0019,0.0076,0.1127,0.424,0.0995,3.7726,0.2603,0.3416,51.18965530395508,46.65689468383789,13.32399845123291,10.427886009216309,0.2602869343838538,18.10783576965332,60.32011795043945,7.2078767,3.5433252,3.327115,6.576732635498047,516.7125,112.789825,69.86591,64,0,1,0
GPT-2,0,1,local,0.0,,2.63353,-0.0698,46.7036,0.0131,0.0808,0.491,0.0667,4.315,0.2549,0.3416,45.72525405883789,50.62262725830078,11.655303955078125,10.060408592224121,0.2548986155458026,15.228493690490723,61.03464126586914,4.347559,3.1371706,3.0548916,18.232919692993164,188.67958,68.33218,66.19455,64,0,1,0
GPT-2,0,2,local,0.0,,1.82555,-0.06054,57.2021,0.0129,0.0812,0.5398,0.1073,3.8209,0.3385,0.3416,37.14519119262695,49.642494201660156,12.573604583740234,12.380396842956543,0.3384988522077028,19.042278289794922,61.146331787109375,5.104036,3.4997735,3.3803,10.371028900146484,192.51825,119.475815,55.640823,64,0,1,0
GPT-2,0,3,local,0.0,,2.18558,-0.09405,83.7122,0.1037,0.033,0.7264,0.1042,4.1426,0.3753,0.3416,27.10089874267578,32.21375274658203,10.170808792114258,9.322102546691895,0.3752941512636226,12.254157066345215,61.26692199707031,3.884688,2.4002934,2.2496145,9.021419525146484,84.558914,61.06948,52.20687,64,0,1,0
GPT-2,0,4,local,0.0,,2.44155,-0.04348,40.4838,0.0054,0.1011,0.4167,0.0892,3.9258,0.2555,0.3416,50.99274444580078,48.58214569091797,13.026180267333984,10.700716018676758,0.25545164138358956,17.585355758666992,62.308223724365234,3.473618,3.2471182,3.0723875,14.715361595153809,185.87248,125.39395,87.61189,64,0,1,0
GPT-2,0,5,local,0.0,,2.50013,-0.06929,33.1034,0.0157,0.1016,0.328,0.1119,3.9475,0.2191,0.3416,68.26448822021484,76.6304702758789,14.955977439880371,11.84186840057373,0.21908869208296958,22.317949295043945,62.815452575683594,4.491692,3.9396362,3.709391,30.76755714416504,172.3622,154.21327,140.1143,64,0,1,0
GPT-2,0,6,local,0.0,,2.14764,-0.14639,51.9729,0.0508,0.0589,0.5406,0.2109,3.5328,0.2479,0.3416,50.71912384033203,47.88944625854492,12.572854995727539,10.170811653137207,0.24789180182425216,15.515223503112793,62.749141693115234,3.5006886,2.6564274,2.572033,12.530806541442871,247.82076,160.37766,110.78781,64,0,1,0
GPT-2,0,7,local,0.0,,2.4858,-0.15097,62.5123,0.018,0.0598,0.5808,0.0499,4.3604,0.3549,0.3416,27.029550552368164,33.77408981323242,9.591646194458008,9.241886138916016,0.35485777596909734,11.641154289245605,59.95993423461914,4.0040402,3.5255804,2.3643427,7.809855937957764,110.2287,75.27301,56.844868,64,0,1,0
GPT-2,0,8,local,0.0,,2.53225,-0.07382,48.5769,0.0179,0.0655,0.5092,0.0521,4.3992,0.2673,0.3416,44.70469284057617,54.56521224975586,11.948078155517578,10.521966934204102,0.26726675425611357,16.34254264831543,60.934757232666016,5.3990564,3.3373373,3.224951,17.818389892578125,154.36072,138.42548,101.64839,64,0,1,0
GPT-2,0,9,local,0.0,,2.58276,-0.07198,22.5778,0.0115,0.163,0.2056,0.0831,3.8329,0.167,0.3416,84.86264038085938,84.11410522460938,14.174829483032227,14.390494346618652,0.16703262377196984,25.748428344726562,60.844482421875,5.453382,5.3427734,4.955492,47.20412063598633,230.04454,216.61046,173.42783,64,0,1,0
