layer,head,label,max_attn_weight,top_q_layer,top_k_layer,q_embed_contrib,k_embed_contrib,total_score
0,12,local,0.06756079234182835,0,0,0.024749639024958015,0.024749639024958015,0.024749639024958015
1,20,local,0.0698402663692832,0,0,-7.92031074524857e-05,0.002512473954993766,-0.001507050427608192
1,25,local,0.07062090877443553,1,0,-0.0016234207287197933,0.002703548996942118,8.648117072880268e-05
2,7,local,0.07292266860604286,2,2,-0.00017503837589174509,-0.0005302706806105562,0.021065601194277406
2,14,induction,0.07401964664459229,2,2,-0.0005702136433683336,-0.0027949934476055203,0.02665770323947072
2,26,induction,0.09323641192167997,1,2,0.05391965312883258,0.003179438624647446,0.29606891963630916
3,20,local,1.0,3,2,0.6585035815834999,0.0012973550750757568,41.191386985778806
3,31,local,0.999929416179657,2,2,-0.8714820008724928,0.001120330102276057,17.628300523757936
4,14,local,0.6862229201942682,3,2,-0.9242075793328695,0.0015556819183984772,4.3913765384815635
4,16,induction,0.8709297224879264,2,2,0.12009371740277856,-0.004677739494945854,5.206249570846557
4,19,induction,0.7993149280548095,3,2,0.034640152525389566,-0.0007679114351049066,4.292842853069305
5,4,induction,1.0,2,2,0.26752985306084154,-0.008164859004318714,56.322809028625485
5,5,induction,1.0,2,2,1.0429880768060684,-0.004403848090441897,35.91364278793335
5,7,induction,1.0,2,2,0.029416952282190323,-0.0006240352464374155,29.933934116363524
5,8,induction,0.9523701429367065,2,2,0.20883668204769493,-0.005267114308662712,5.863304543495178
5,10,induction,0.6576595723628997,2,2,0.10185998477973043,-0.011920440255198627,3.2486753940582274
5,17,induction,1.0,2,2,0.38670718371868135,0.0013212956953793764,40.50155916213989
5,18,retrieval,1.0,2,2,0.34901985451579093,-0.00028862420876976105,43.32506885528564
6,9,induction,0.9999983310699463,2,2,0.2508291367441416,-0.005142052314477041,18.261738109588624
6,10,induction,0.9997089296579361,2,2,0.13538005128502845,-0.00821441407315433,11.639977216720581
6,11,induction,0.9999898076057434,2,2,0.24419625848531723,-0.010075496707577259,17.198743963241576
6,20,induction,0.9999999582767487,6,2,-0.044874845817685124,0.005688863387331366,26.75729637145996
6,31,induction,1.0,2,2,0.8609414923936128,-0.007631741929799318,36.401984214782715
7,5,induction,0.8660643145442009,3,2,0.5791632045060396,-0.013259159808512777,7.4709284149110315
7,6,induction,0.790376392006874,2,2,0.192881054058671,-0.00655778341460973,4.856529223918915
7,7,induction,0.998416182398796,2,2,0.0482447899878025,0.001325474506302271,9.755857181549072
7,12,induction,1.0,2,2,-0.6138269379734993,-0.0014879485010169447,48.37165174484253
7,21,induction,1.0,2,2,-0.8378851972520351,0.0027307270967867224,28.669433879852296
7,22,induction,1.0,2,2,-0.3839515052735806,0.0010016890708357095,23.845891284942628
7,28,induction,1.0,2,2,-0.8030165523290634,0.002182508126134053,37.38511667251587
7,29,induction,1.0,2,2,-0.6208498546853661,0.0026870448637055233,28.6032075881958
8,0,induction,1.0,2,2,-0.33346116160973904,0.0010051441116956995,35.50769205093384
8,1,induction,1.0,2,2,-0.6004425987601281,0.0015577875077724458,37.533705711364746
8,4,induction,1.0,2,2,-0.5689498655498028,0.004989596415543929,34.84153203964233
8,7,induction,1.0,2,2,-0.7383428111672401,0.0043698754219803956,30.00514726638794
8,12,induction,0.999979767203331,2,2,0.05479222856229171,-0.005760092916898429,16.482777976989745
8,13,induction,1.0,7,2,0.032165609672665595,-0.0023186212463770063,24.97834539413452
