layer,head,label,max_attn_weight,top_q_layer,top_k_layer,q_embed_contrib,k_embed_contrib,total_score
0,1,sink,0.07014338057488204,0,0,0.01239964907290414,0.01239964907290414,0.01239964907290414
0,13,local,0.06969464011490345,0,0,0.004232563002733514,0.004232563002733514,0.004232563002733514
2,2,retrieval,0.10764610841870308,1,1,0.0024182166787795724,0.004511199599073734,0.5501746408641338
3,4,local,0.20332579053938388,3,3,-0.04432313545548823,0.0003241902100853622,1.2217655301094055
3,12,local,0.23145656380802393,1,3,-0.0492838715785183,-0.00044491347507573663,1.0999382806941866
4,3,local,0.14695741180330515,1,3,0.00953979259938933,-0.0005900012532947585,0.5090103343129158
5,0,induction,0.6861376672983169,2,4,-0.26485948959598316,0.002657773584360257,5.27875384092331
5,2,induction,0.14477699864655733,1,3,-0.0050864503646153025,-0.002756682595645543,1.0169812314212323
5,5,local,0.13468971364200116,1,1,0.02397879009367898,0.0020423315698280932,1.1921688086353242
5,11,retrieval,0.23144559003412724,5,4,0.007392014536162605,0.0005106822631205432,1.147083441261202
8,3,sink,0.22830163650214672,8,1,-0.056356741860508916,-0.012668820330873132,3.4245231628417967
8,8,local,0.11414952613413334,6,1,0.0007360164046986029,0.0013367551087867468,0.8871518686413765
9,5,local,0.4563512858003378,1,4,-0.06385480849712621,-0.0010509573301533237,4.453511749207974
9,7,sink,0.9973471224308014,9,4,0.0430531813763082,0.0006108260480687022,22.300316047668456
9,8,induction,0.7737798970192671,9,4,-0.20629395566647873,0.0015962576770107261,14.504340335726738
9,9,sink,0.7336184300482274,9,4,-0.08949334744247608,0.0010673266602680086,10.420318718254567
9,10,induction,0.5611517312005162,9,4,-0.1257209121977212,0.001714755399734713,5.688263537734747
9,12,induction,0.11975969355553388,4,9,0.0029276833884068765,0.0006289374941843562,0.5092946253716946
10,11,local,0.10034495908766985,1,6,0.0007022067322395742,-1.229187473654747e-05,0.527272792160511
10,12,induction,0.5401941193267703,6,4,0.002449900540523231,-0.0014214380702469499,10.20108854174614
11,2,induction,0.41000641267746685,6,4,0.038187139134970495,0.005516538058873266,3.455981931090355
11,7,sink,0.4523398406803608,9,3,0.021901168700424023,0.0023695989802945405,3.1780194297432898
11,8,induction,0.09451902247965335,4,9,-0.0024072074811556377,-0.001665628285263665,0.4898481160402298
11,10,induction,0.1761717850342393,8,9,0.030565100468811578,5.3386209765449165e-05,1.0338560909032821
11,11,sink,0.3441657438874245,9,9,-0.08153214227641001,-0.00010780766897369176,2.4477726757526397
11,13,sink,0.814137802273035,11,4,-0.0004160136915743351,-2.071125782094896e-05,10.363001709803939
12,2,induction,0.17472805995494128,1,2,-0.0022720241599017755,-0.0010497072478756308,0.9380697853863239
13,0,induction,0.6288899537175894,11,4,0.21363597006420604,0.0016914536332478746,13.720675724744797
13,2,induction,0.20099281929433346,1,1,0.022356498436420225,-0.0017955271323444322,2.1083850145339964
13,6,induction,0.1411582175642252,12,13,-0.007187878745025955,-0.0004977789940312505,0.9711190968751907
13,7,induction,0.3793073294684291,9,4,-0.01582986660359893,0.0008229446830227971,2.5562888249754905
13,8,induction,0.9294713910669088,13,4,-0.006179154198616743,-0.003476992039941251,15.588563942909241
13,9,induction,0.8657308664172888,11,4,0.026675891390186734,-0.000501001178054139,15.928987434506416
13,10,induction,0.3368316495791078,1,4,-0.10983651420101523,0.0002689531582291238,2.161868495494127
13,13,induction,0.4248840868473053,12,13,0.12953669943381102,-0.0016040373768191785,4.003989443182945
14,0,induction,0.2038126414641738,1,2,0.008981113368645311,-0.0009586461237631738,1.8396307468414306
14,3,induction,0.302402395196259,12,4,0.04876976766390726,3.411478246562183e-05,2.6312527641654015
14,5,induction,0.12775718607008457,13,1,-0.015782003640197217,-0.0002374661067733541,0.6814218379557133
14,8,induction,0.09050307925790549,12,2,-0.0026618982665240765,0.0006450350861996412,0.54604721814394
14,9,induction,0.2212248895317316,12,4,-0.004546929826028645,-0.00029869829304516313,1.3936916872859002
14,13,induction,0.622927675396204,7,4,0.14816631798603339,-0.0002994788490468636,8.674527291953563
15,6,induction,0.4507134011015296,15,4,0.004686922940891236,-0.0012349588330835104,4.535013899207115
15,7,induction,0.5738274712115526,11,4,0.06622308199293911,-1.318767317570746e-06,6.381459239125252
15,9,induction,0.36445122808218,15,4,0.06269903843058273,-0.00010512926965020598,3.948988902568817
15,10,induction,0.5954250901937485,15,4,0.04295124204945751,0.0008856726664816961,7.695841577649117
15,11,induction,0.43033669628202914,15,4,-0.0127982396108564,0.00031425670022144914,5.241789001226425
15,12,induction,0.708461407572031,15,4,-0.035866468166932466,-8.642281172797084e-05,12.127560096979142
15,13,induction,0.6405503802001477,15,4,0.043134850764181464,0.0012261382769793272,8.327149890363216
16,1,sink,0.39434851687401534,13,16,-0.04312427805271,-0.0005558836797717959,5.070525404810906
16,7,induction,0.627085679396987,12,4,0.07298373341327533,0.0006254559295484797,13.755516704916953
16,12,induction,0.5236298911273479,16,4,-0.3425881051458418,-0.002126625005621463,6.309615153074264
16,13,induction,0.6570080814883112,12,4,-0.05923531634034589,-0.0018362516129855067,8.180826570093632
17,6,retrieval,0.19319426286965607,17,16,-0.0611897882190533,-0.001342581119388342,1.1165818199515343
18,9,local,1.0,18,4,-0.10011972906067967,0.0020201460531097835,51.4091079711914
19,2,induction,0.861542920768261,19,4,0.05972555645275861,-0.0012235250032972544,22.21072725057602
19,10,induction,0.8132679045200348,19,4,-0.2822964613325894,-0.0017721614334732295,25.166916072368622
23,1,sink,0.5265212133526802,23,23,0.043312314245849845,-0.001579975546337664,17.446419334411623
23,5,local,0.3460511676967144,22,23,0.0022590333945117893,0.005931187362875789,3.13358316719532
