layer,head,top_q_layer,top_k_layer,k_embed_contrib,total_score
0,0,0,0,0.038728784024715426,0.038728784024715426
0,1,0,0,0.03072110712528229,0.03072110712528229
0,2,0,0,0.031213493645191194,0.031213493645191194
0,3,0,0,0.0148038849234581,0.0148038849234581
0,4,0,0,0.01964309997856617,0.01964309997856617
0,5,0,0,0.018163232132792473,0.018163232132792473
0,6,0,0,0.020688811689615248,0.020688811689615248
0,7,0,0,0.03127738535404205,0.03127738535404205
0,8,0,0,0.01942250840365887,0.01942250840365887
0,9,0,0,0.02377297542989254,0.02377297542989254
0,10,0,0,0.027870917320251466,0.027870917320251466
0,11,0,0,0.02602978199720383,0.02602978199720383
0,12,0,0,0.015887014009058474,0.015887014009058474
0,13,0,0,0.01249567437916994,0.01249567437916994
0,14,0,0,0.014096801914274693,0.014096801914274693
0,15,0,0,0.014192884042859077,0.014192884042859077
0,16,0,0,0.022730304673314095,0.022730304673314095
0,17,0,0,0.02068953849375248,0.02068953849375248
0,18,0,0,0.015008494630455971,0.015008494630455971
0,19,0,0,0.010507776029407978,0.010507776029407978
0,20,0,0,0.01703907661139965,0.01703907661139965
0,21,0,0,0.015235039778053761,0.015235039778053761
0,22,0,0,0.012976964376866818,0.012976964376866818
0,23,0,0,0.03415319323539734,0.03415319323539734
0,24,0,0,0.03129327744245529,0.03129327744245529
0,25,0,0,0.027344724535942076,0.027344724535942076
0,26,0,0,0.018544143438339232,0.018544143438339232
0,27,0,0,0.01231044828891754,0.01231044828891754
0,28,0,0,0.01621479317545891,0.01621479317545891
0,29,0,0,0.010274466685950756,0.010274466685950756
0,30,0,0,0.011312145367264747,0.011312145367264747
0,31,0,0,0.026624907180666922,0.026624907180666922
1,0,1,0,0.002183944103308022,-0.0031163599342107773
1,1,0,0,0.002545404201373458,0.005885627958923579
1,2,0,0,0.00023516755318269132,-0.002124334778636694
1,3,1,1,0.0004379307269118726,0.015426455158740282
1,4,1,1,0.004519475670531392,0.01894120667129755
1,5,1,0,0.002538314927369356,-0.00628807358443737
1,6,1,0,0.005968934996053577,0.01392191620543599
1,7,0,0,-0.0014479319448582827,-0.01122439093887806
1,8,0,0,-0.0012803176534362138,-0.004394704010337591
1,9,0,0,-0.001371512608602643,-0.006270705349743366
1,10,1,1,-0.00030262164946179835,0.0021683913189917805
1,11,1,1,0.0009374904329888523,0.006346173025667668
1,12,0,1,-0.00132826822809875,-0.0019162637181580067
1,13,0,0,0.0028698559966869653,-0.0036927939858287574
1,14,1,0,0.006044288212433457,0.000946464785374701
1,15,1,0,0.00023322829511016608,-0.0008151236921548844
1,16,0,0,0.0005177207523956895,-0.0038758761947974563
1,17,0,0,0.0032847326016053557,-0.002061825804412365
1,18,1,0,0.0009776964318007231,-0.009092617779970169
1,19,0,0,-1.3972597662359476e-05,-0.006031880946829915
1,20,0,0,0.0026312748203054072,-0.00060843366663903
1,21,1,1,-0.00015283790417015554,0.0003123111091554165
1,22,1,1,-0.0021339020691812038,0.00508231371641159
1,23,1,1,0.0009441997855901719,0.02916946802288294
1,24,0,0,0.0020959447138011456,-0.006999265216290951
1,25,1,0,0.0024831990478560327,-0.00016805953346192836
1,26,0,0,0.0007729579287115484,-0.0023561353562399747
1,27,1,1,0.0012836311419960112,0.0010123486630618573
1,28,1,1,0.002880405727773905,0.015841016545891762
1,29,0,1,0.0025031408527866005,0.0043548726942390205
1,30,1,1,0.003655318357050419,0.015336836501955987
1,31,1,0,0.0035232486668974163,0.009942121291533112
2,0,2,2,0.0015403180615976453,0.014339901506900787
2,1,1,0,0.003395552933216095,-0.002403468755073845
2,2,1,2,0.001958496356382966,0.02426041103899479
2,3,0,2,-0.0011215064208954574,-0.007571004889905452
2,4,2,1,-0.00015249507268890738,0.005493321921676397
2,5,2,2,0.001679910090751946,-0.004923954606056213
2,6,0,0,-0.0005898662377148867,-0.013188244216144085
2,7,2,2,-0.00044158564414829014,0.017286739498376846
2,8,2,2,0.003209460782818496,0.02096708621829748
2,9,2,2,0.0014174605021253228,0.017069872841238974
2,10,2,1,-0.0013985343743115664,0.018990950658917427
2,11,1,2,0.0017890578135848045,0.016966879600659013
2,12,1,2,0.0020782537176273763,0.03568286821246147
2,13,2,2,0.0019998414441943168,0.010031948424875736
2,14,2,2,-0.0042837237706407905,0.024160468392074107
2,15,2,2,0.0002450923435389996,-0.0042823032476007935
2,16,2,2,-0.00042051291093230246,0.027236159518361093
2,17,2,2,0.0008251645136624575,0.011417591944336891
2,18,2,2,0.0014989669201895595,0.032516969740390776
2,19,2,2,-0.001590847410261631,0.014963896665722131
2,20,0,2,0.005977700697258115,0.002165229059755802
2,21,0,0,0.0037617707159370182,-0.001280395593494177
2,22,2,2,0.0037991269724443554,0.0317937895655632
2,23,2,2,0.0007819344056770206,0.009350365260615945
2,24,2,1,-0.000241520325653255,0.02308458760380745
2,25,2,1,0.0003238973033148795,0.03970323279500008
2,26,1,1,0.00225885605905205,0.42072696387767794
2,27,1,2,0.003482313780114055,0.020418357849121094
2,28,1,2,0.0009790292708203197,0.017707527475431563
2,29,0,2,0.0016037168679758906,-0.008830005675554276
2,30,2,2,0.003159733442589641,0.02551202867180109
2,31,2,2,8.515693480148911e-05,0.016542398557066917
3,0,2,2,0.0011316086398437618,50.35664672851563
3,1,2,2,0.00010147260036319494,41.10126495361328
3,2,2,2,-0.003215775405988097,43.45311279296875
3,3,2,2,0.0024473452009260654,51.79425888061523
3,4,2,2,0.0012278872542083263,34.097124862670896
3,5,2,2,-0.0006512489169836044,37.147840118408205
3,6,2,2,0.00034415757982060314,26.417114639282225
3,7,2,2,0.004337317822501063,33.445885467529294
3,8,2,2,-0.003612560406327248,22.401982879638673
3,9,2,2,-0.0006193220848217607,22.067314910888673
3,10,2,2,0.0008967658737674356,27.160451889038086
3,11,2,2,0.0014400092652067543,26.865889739990234
3,12,2,2,0.003701638418715447,51.576245880126955
3,13,2,2,0.003994834469631314,42.62788696289063
3,14,2,2,0.003323653037659824,46.17590179443359
3,15,2,2,0.005590318329632282,51.54297714233398
3,16,2,2,0.004848823940847069,17.24409599304199
3,17,2,2,-0.0029542648233473303,3.2371903896331786
3,18,2,2,-0.00475588496774435,11.887182998657227
3,19,0,0,0.0038874791702255608,0.6302698472514748
3,20,2,2,0.0013538334635086358,37.94057388305664
3,21,2,2,0.006124520767480135,22.73243865966797
3,22,2,2,0.002686988143250346,32.9802303314209
3,23,2,2,0.000656695058569312,10.218698501586914
3,24,2,2,-0.0033118309220299125,47.577545166015625
