layer,head,top_q_layer,top_k_layer,k_embed_contrib,total_score
0,0,0,0,0.005112997069954872,0.005112997069954872
0,1,0,0,0.015832920372486115,0.015832920372486115
0,2,0,0,0.01272318884730339,0.01272318884730339
0,3,0,0,0.0035403181798756124,0.0035403181798756124
0,4,0,0,0.005809902213513851,0.005809902213513851
0,5,0,0,0.0021971751702949405,0.0021971751702949405
0,6,0,0,0.003344319388270378,0.003344319388270378
0,7,0,0,0.003998556034639477,0.003998556034639477
0,8,0,0,0.0022117375629022717,0.0022117375629022717
0,9,0,0,0.0037369235418736936,0.0037369235418736936
0,10,0,0,0.0021538719069212676,0.0021538719069212676
0,11,0,0,0.011147509887814521,0.011147509887814521
0,12,0,0,0.007816484477370978,0.007816484477370978
0,13,0,0,0.005780309624969959,0.005780309624969959
1,0,1,1,0.0018285347847267984,0.1332967236638069
1,1,1,1,0.00021021158900111914,0.08285043612122536
1,2,1,1,0.0038491114508360626,0.16113968640565873
1,3,1,1,0.0023089926355169153,0.07026005759835244
1,4,1,1,0.0038572893012315036,0.2046617791056633
1,5,1,1,-0.00024491058429703115,0.07213260009884834
1,6,1,1,0.00016519066412001848,0.11072705090045928
1,7,1,1,-0.00019937613978981972,0.058058254420757294
1,8,1,1,-0.0004656330158468336,0.03132833130657673
1,9,1,1,-0.0014768331369850785,0.043602078408002856
1,10,1,1,-0.00043842445884365586,0.06492842882871627
1,11,1,1,-0.00038867812254466115,0.09632706493139268
1,12,1,1,-0.0013402328942902387,0.0479742955416441
1,13,1,1,0.0006669342517852783,0.051125134155154225
2,0,2,1,0.00045178697328083215,0.061409139260649684
2,1,2,2,-0.00048451861657667906,0.03261026106774807
2,2,1,1,0.0017282066401094198,0.431041818857193
2,3,2,2,0.0007612620480358601,0.0926557570695877
2,4,1,1,0.0012373451609164476,0.23516494333744048
2,5,2,2,-0.001059040322434157,0.08284409418702125
2,6,2,1,-0.00015992833650670945,0.13389217853546143
2,7,1,1,-0.0007938284426927567,0.22202341705560685
2,8,2,1,0.003942082962021231,0.14857071042060851
2,9,2,1,0.004456621641293168,0.11948423944413662
2,10,2,2,0.0014957073261030018,0.16438330411911012
2,11,1,2,0.0021197172114625572,0.09083249494433403
2,12,2,2,0.00055569086689502,0.1344706729054451
2,13,2,1,0.001288767042569816,0.03076615631580353
3,0,1,1,-0.0013600268866866827,1.0108036398887634
3,1,2,3,-2.304394147358835e-05,2.964378833770752
3,2,2,3,-5.6443735957145694e-06,0.04100563675165177
3,3,1,3,-0.00022164352412801236,0.445416247844696
3,4,1,1,1.3300415594130754e-05,0.5076419532299041
3,5,3,3,0.002660857466980815,9.067806339263916
3,6,2,3,-0.00032907960121519864,3.733254861831665
3,7,1,3,0.0014668847434222698,0.3569884538650513
3,8,1,1,0.0020257821073755623,0.23088846504688262
3,9,2,1,-0.0008095089113339781,0.11470957249403
3,10,2,3,6.469532381743192e-05,0.8679375231266022
3,11,1,3,0.004325906815938652,5.6846130847930905
3,12,1,3,0.00045620962046086786,0.6801676988601685
3,13,1,1,0.001028636284172535,1.3256391689181328
4,0,3,3,-0.0032012734562158586,8.691230154037475
4,1,1,4,-0.00455501968972385,0.4692387878894806
4,2,2,1,0.0037595460191369055,2.8412122249603273
4,3,1,1,0.001572144136298448,0.12335677742958069
4,4,1,4,-0.0013739134767092765,5.451316714286804
4,5,1,4,-0.0028222367633134126,6.4400532186031345
4,6,1,1,-0.0027782420860603453,0.18389624506235122
4,7,4,4,-0.0010700404411181808,2.504891965351999
4,8,2,4,-0.0008037697873078287,0.3261753715574741
4,9,1,4,-2.4073407985270023e-05,9.706530331075191
4,10,1,4,0.0016563444747589528,0.05728969797492027
4,11,4,4,-0.0005098378751426935,1.947043350338936
4,12,1,3,8.41299188323319e-05,3.164274661242962
4,13,2,3,-6.359434919431806e-05,0.05320697873830795
5,0,5,3,0.005508880689740181,3.809925678372383
5,1,1,3,0.00010674357181414962,0.08983263671398163
5,2,1,2,-0.0032823376124724744,0.5154719471931457
5,3,1,2,-0.0029877665219828486,0.3580477774143219
5,4,1,2,0.00016501196660101414,0.30782527327537534
5,5,1,1,0.0028851520270109176,0.1723267376422882
5,6,2,4,-0.0007964185788296163,19.142160987854005
5,7,5,1,-0.0009176705381833017,0.6133158385753632
5,8,5,4,-0.0009500417567323893,12.724124518036842
5,9,2,4,0.0027200252050533892,10.586844635009765
