layer,head,k_embed_contrib,total_score,top_q_layer,top_k_layer
0,0,15.0,100,0,0
0,1,15.0,100,0,0
0,2,15.0,100,0,0
0,3,15.0,100,0,0
0,4,15.0,100,0,0
0,5,15.0,100,0,0
0,6,15.0,100,0,0
0,7,15.0,100,0,0
0,8,15.0,100,0,0
0,9,15.0,100,0,0
0,10,15.0,100,0,0
0,11,15.0,100,0,0
0,12,15.0,100,0,0
0,13,15.0,100,0,0
0,14,15.0,100,0,0
0,15,15.0,100,0,0
0,16,15.0,100,0,0
0,17,15.0,100,0,0
0,18,15.0,100,0,0
0,19,15.0,100,0,0
0,20,15.0,100,0,0
0,21,15.0,100,0,0
0,22,15.0,100,0,0
0,23,15.0,100,0,0
0,24,15.0,100,0,0
0,25,15.0,100,0,0
0,26,15.0,100,0,0
0,27,15.0,100,0,0
0,28,15.0,100,0,0
0,29,15.0,100,0,0
0,30,15.0,100,0,0
0,31,15.0,100,0,0
1,0,15.0,100,1,1
1,1,15.0,100,1,1
1,2,15.0,100,1,1
1,3,15.0,100,1,1
1,4,15.0,100,1,1
1,5,15.0,100,1,1
1,6,15.0,100,1,1
1,7,15.0,100,1,1
1,8,15.0,100,1,1
1,9,15.0,100,1,1
1,10,15.0,100,1,1
1,11,15.0,100,1,1
1,12,15.0,100,1,1
1,13,15.0,100,1,1
1,14,15.0,100,1,1
1,15,15.0,100,1,1
1,16,15.0,100,1,1
1,17,15.0,100,1,1
1,18,15.0,100,1,1
1,19,15.0,100,1,1
1,20,15.0,100,1,1
1,21,15.0,100,1,1
1,22,15.0,100,1,1
1,23,15.0,100,1,1
1,24,15.0,100,1,1
1,25,15.0,100,1,1
1,26,15.0,100,1,1
1,27,15.0,100,1,1
1,28,15.0,100,1,1
1,29,15.0,100,1,1
1,30,15.0,100,1,1
1,31,15.0,100,1,1
2,0,0.5,100,2,2
2,1,0.5,100,2,0
2,2,0.5,100,2,2
2,3,0.5,100,2,2
2,4,0.5,100,2,0
2,5,0.5,100,2,2
2,6,0.5,100,2,2
2,7,0.5,100,2,0
2,8,0.5,100,2,2
2,9,0.5,100,2,2
2,10,0.5,100,2,0
2,11,0.5,100,2,2
2,12,0.5,100,2,2
2,13,0.5,100,2,0
2,14,0.5,100,2,2
2,15,0.5,100,2,2
2,16,0.5,100,2,0
2,17,0.5,100,2,2
2,18,0.5,100,2,2
2,19,0.5,100,2,0
2,20,0.5,100,2,2
2,21,0.5,100,2,2
2,22,0.5,100,2,0
2,23,0.5,100,2,2
2,24,0.5,100,2,2
2,25,0.5,100,2,0
2,26,0.5,100,2,2
2,27,0.5,100,2,2
2,28,0.5,100,2,0
2,29,0.5,100,2,2
2,30,0.5,100,2,2
2,31,0.5,100,2,0
3,0,0.5,100,3,1
3,1,0.5,100,3,3
3,2,0.5,100,3,3
3,3,0.5,100,3,1
3,4,0.5,100,3,3
3,5,0.5,100,3,3
3,6,0.5,100,3,1
3,7,0.5,100,3,3
3,8,0.5,100,3,3
3,9,0.5,100,3,1
3,10,0.5,100,3,3
3,11,0.5,100,3,3
3,12,0.5,100,3,1
3,13,0.5,100,3,3
3,14,0.5,100,3,3
3,15,0.5,100,3,1
3,16,0.5,100,3,3
3,17,0.5,100,3,3
3,18,0.5,100,3,1
3,19,0.5,100,3,3
3,20,0.5,100,3,3
3,21,0.5,100,3,1
3,22,0.5,100,3,3
3,23,0.5,100,3,3
3,24,0.5,100,3,1
3,25,0.5,100,3,3
3,26,0.5,100,3,3
3,27,0.5,100,3,1
3,28,0.5,100,3,3
